0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,
1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,
1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,
1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,
1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,
1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,
1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,
1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,
1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,
1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,
1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,
5,4,4,4,4,4,4,4,4,4,4,4,4,
0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,1,1,1,1,1,1,1,1,1,1,
2,2,2,2,2,2,2,2,2,2,2,2,2,
3,3,3,3,3,3,3,3,3,3,3,3,3,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,
